Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,
2D,15664956,A549 lung epithelial cells grown as three-dimensional aggregates: alternative tissue culture model for Pseudomonas aeruginosa pathogenesis.,"A three-dimensional (3-D) lung aggregate model was developed from A549 human lung epithelial cells by using a rotating-wall vessel bioreactor to study the interactions between Pseudomonas aeruginosa and lung epithelial cells. The suitability of the 3-D aggregates as an infection model was examined by immunohistochemistry, adherence and invasion assays, scanning electron microscopy, and cytokine and mucoglycoprotein production. Immunohistochemical characterization of the 3-D A549 aggregates showed increased expression of epithelial cell-specific markers and decreased expression of cancer-specific markers compared to their monolayer counterparts. Immunohistochemistry of junctional markers on A549 3-D cells revealed that these cells formed tight junctions and polarity, in contrast to the cells grown as monolayers. Additionally, the 3-D aggregates stained positively for the production of mucoglycoprotein while the monolayers showed no indication of staining. Moreover, mucin-specific antibodies to MUC1 and MUC5A bound with greater affinity to 3-D aggregates than to the monolayers. P. aeruginosa attached to and penetrated A549 monolayers significantly more than the same cells grown as 3-D aggregates. Scanning electron microscopy of A549 cells grown as monolayers and 3-D aggregates infected with P. aeruginosa showed that monolayers detached from the surface of the culture plate postinfection, in contrast to the 3-D aggregates, which remained attached to the microcarrier beads. In response to infection, proinflammatory cytokine levels were elevated for the 3-D A549 aggregates compared to monolayer controls. These findings suggest that A549 lung cells grown as 3-D aggregates may represent a more physiologically relevant model to examine the interactions between P. aeruginosa and the lung epithelium during infection.",Carterson AJ; Höner zu Bentrup K; Ott CM; Clarke MS; Pierson DL; Vanderburg CR; Buchanan KL; Nickerson CA; Schurr MJ,NASA Discipline Cell Biology; Non-NASA Center,2005,Infection and immunity,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",R01 AI050812/AI/NIAID NIH HHS/United States; R01 AI050812-02/AI/NIAID NIH HHS/United States
2D,11893073,Secondary metabolism in simulated microgravity.,"We have studied microbial secondary metabolism in a simulated microgravity (SMG) environment provided by NASA rotating-wall bioreactors (RWBs). These reactors were designed to simulate some aspects of actual microgravity that occur in space. Growth and product formation were observed in SMG in all cases studied, i.e., Bacillus brevis produced gramicidin S (GS), Streptomyces clavuligerus made beta-lactam antibiotics, Streptomyces hygroscopicus produced rapamycin, and Escherichia coli produced microcin B17 (MccB17). Of these processes, only GS production was unaffected by SMG; production of the other three products was inhibited. This was determined by comparison with performance in an RWB positioned in a different mode to provide a normal gravity (NG) environment. Carbon source repression by glycerol of the GS process, as observed in shaken flasks, was not observed in the RWBs, whether operated in the SMG or NG mode. The same phenomenon occurred in the case of MccB17 production, with respect to glucose repression. Thus, the negative effects of carbon source on GS and beta-lactam formation are presumably dependent on shear, turbulence, and/or vessel geometry, but not on gravity. Stimulatory effects of phosphate and the precursor L-lysine on beta-lactam antibiotic production, as observed in flasks, also occurred in SMG. An almost complete shift in the localization of produced MccB17 from cells to extracellular medium was observed when E. coli was grown in the RWB under SMG or NG. If a plastic bead was placed in the RWB, accumulation became cellular, as it is in shaken flasks, indicating that sheer stress favors a cellular location. In the case of rapamycin, the same type of shift was observed, but it was less dramatic, i.e., growth in the RWB under SMG shifted the distribution of produced rapamycin from 2/3 cellular:1/3 extracellular to 1/3 cellular:2/3 extracellular. Stress has been shown to induce or promote secondary metabolism in a number of other microbial systems. RWBs provide a low stress SMG environment, which, however, supports only poor production of MccB17, as compared to production in shaken flasks. We wondered whether the poor production in RWBs under SMG is due to the low level of stress, and whether increasing stress in the RWBs would raise the amount of MccB17 formed. We found that increasing shear stress by adding a single Teflon bead to the RWB improved MccB17 production. Although shear stress seems to have a marked positive effect on MccB17 production in SMG, addition of various concentrations of ethanol to RWBs (or to shaken flasks) failed to increase MccB17 production. Ethanol stress merely decreased production and, at higher concentrations, inhibited growth. Interestingly, cells growing in the RWB were much more resistant to the growth- and production-inhibitory effects of ethanol than cells growing in shaken flasks. With respect to S. hygroscopicus, addition of Teflon beads to the RWB reversed the inhibition of growth, but rapamycin production was still markedly inhibited, and the distribution did not revert back to a preferential cellular site.",Demain AL; Fang A,NASA Discipline Cell Biology; Non-NASA Center,2001,"Chemical record (New York, N.Y.)","Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
2D,20624768,Accuracy of dual-source computed tomography to identify significant coronary artery disease in patients with atrial fibrillation: comparison with coronary angiography.,"AIMS: It has been previously reported that the sensitivity and specificity of multislice computed tomography (CT) for detecting significant coronary artery disease (CAD) is high. However, regular sinus rhythm has been considered a prerequisite for an adequate examination, even though atrial fibrillation (AF) is common among patients evaluated for the presence of coronary heart disease. In this study, we investigated the sensitivity and specificity of dual-source CT (DSCT) to detect and rule out significant coronary stenoses in patients with AF referred for invasive coronary angiography. METHODS AND RESULTS: One hundred and ten consecutive patients with AF who were admitted for a first diagnostic coronary angiogram were screened for participation. Out of these, 50 patients were excluded either due to renal insufficiency, inability to maintain an adequate breath hold or due to rapid AF non-responsive to β-blocker therapy (heart rate > 100 b.p.m.). Sixty remaining patients (mean age 71 ± 7 years) were included and subjected to CT angiography using DSCT within 24 h before invasive coronary angiography. A contrast-enhanced volume data set was acquired (330 ms gantry rotation, collimation 2 × 64 × 0.6 mm, retrospective electrocardiogram gating). Data sets were evaluated concerning the presence or absence of significant coronary stenoses and validated against invasive coronary angiography. A significant stenosis was assumed if the diameter reduction was ≥50%. Mean heart rate during CT was 70 ± 15 b.p.m. (range 32-107 b.p.m.). On a per-patient basis, the sensitivity and specificity for DSCT to detect significant coronary stenoses in vessels >1.5 mm diameter was 100% [14/14, 95% confidence interval (CI) 77-100] and 85% (39/46, 95% CI 71-94), respectively, with a negative predictive value (NPV) of 100% (39/39, 95% CI 91-100) and a positive predictive value (PPV) of 67% (14/21, 95% CI 43-85). On a per-artery basis, 240 vessels were evaluated (left main, left anterior descending, left circumflex, and right coronary artery in 60 patients, with 3 non-assessable vessels due to either severe calcification or motion artefacts which were considered positive for stenoses) with a sensitivity of 95% (21/22, 95% CI 77-100) and specificity of 94% (204/218, 95% CI 89-97); NPV was 99% (204/205, 95% CI 96-100), and PPV was 60% (21/35, 95% CI 38-80). CONCLUSION: Our study demonstrates high sensitivity, specificity, and NPV of DSCT to detect significant CAD in selected patients with rate controlled AF.",Marwan M; Pflederer T; Schepis T; Lang A; Muschiol G; Ropers D; Daniel WG; Achenbach S,,2010,European heart journal,"Comparative Study; Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",
2D,19809339,High-pitch electrocardiogram-triggered computed tomography of the chest: initial results.,"OBJECTIVES: Chest pain is one of the most frequent symptoms in the emergency department. A variety of different diseases, some of them acutely life threatening, can be the underlying cause. Electrocardiogram (ECG)-gated computed tomography angiography of the thorax has been proposed as a cost and time effective imaging technique for these patients. We describe a new high-pitch scan mode, which has been developed specifically for low-dose ECG-triggered computed tomography angiography using dual source computed tomography (CT). MATERIAL AND METHODS: Twenty-four patients were examined with this technique on a second generation dual source CT system. The scan mode uses a pitch of 3.2 to acquire a spiral CT data set of the complete thorax in less than 1 second with a temporal resolution of 75 ms (scan parameters: 128 x 0.6 mm collimation, 0.28 seconds gantry rotation time, 370 mAs at 100 kV [15 patients] and 320 mAs at 120 kV [9 patients], reconstructed slice thickness 0.6 mm, increment 0.4 mm). Data acquisition was prospectively triggered at 50% to 60% of the RR interval to cover the range over the heart in diastole. A triple phase contrast injection protocol (total volume: 80 mL) was used to optimize enhancement of the pulmonary and systemic arterial vessels. Image quality was evaluated using a 4-point scale (1 = absence of motion artifacts; 2 = slight motion artifacts, fully evaluable; 3 = motion artifacts, but evaluable; 4 = unevaluable) on a per-segment basis. RESULTS: The patients had an average heart rate of 68 +/- 15 bpm (range: 43-111 bpm) during data acquisition. Motion artifact free visualization of the aorta and pulmonary vessels was possible in each case, of 344 coronary artery segments, 242 (70%) had an image quality score of 1, 60 segments (17%) a score of 2, 28 segments (8%) a score of 3, and 14 segments (4%) were rated as ""unevaluable."" In 17 patients (10 patients with a heart rate < or =60 bpm) all segments were evaluable. The average dose length product was 113 +/- 11 mGy x cm per scan (mean effective dose 1.6 +/- 0.2 mSv) at 100 kV and 229 +/- 31 mGy x cm per scan (mean effective dose 3.2 +/- 0.4 mSv) at 120 kV. CONCLUSION: Our initial results indicate that this high-pitch scan mode allows motion artifact free and accurate visualization of the thoracic vessels, and diagnostic image quality of the coronary arteries in patients with low and stable heart rates at a very low radiation exposure.",Lell M; Hinkmann F; Anders K; Deak P; Kalender WA; Uder M; Achenbach S,,2009,Investigative radiology,"Evaluation Study; Journal Article; Research Support, Non-U.S. Gov't",
2D,16610381,Use of fluoroscopy to evaluate iliac screw position.,"Iliac screw fixation is often used for long fusions to the sacropelvis. Maximum iliac screw purchase is obtained both by placing the screws within 1.5 cm of the greater sciatic notch and by extending them anterior to the axis of rotation in flexion-extension. Screw insertion is ""blinded"" or dependent on tactile feedback, and hence extreme care is necessary to avoid incorrect placement and damage to vital neurovascular structures in the pelvis and sciatic notch. Long screws may violate the hip joint while medial placement may injure the lumbosacral plexus and the nearby vessels. To explore the best intraoperative fluoroscopic method of determining optimal iliac screw placement, we used a synthetic pelvis model to investigate screw placement conditions: (1) optimal anatomic placement, (2) violation of the sciatic notch, (3) hip joint violation, (4) medial wall violation, and (5) lateral wall violation. Each condition was examined utilizing fluoroscopy with posteroanterior, inlet, outlet, lateral, iliac oblique, and obturator oblique Judet views to simulate operative conditions. These views were obtained to evaluate critical malposition of iliac screws. We found that, for a sciatic notch violation, the obturator oblique view best demonstrated the cortical breech, while for a hip joint violation, the inlet and outlet views were best. For a medial wall violation, the iliac oblique view best showed the violation. For a lateral wall violation, we were unable to demonstrate the cortical breech using these fluoroscopic views. Fluoroscopy is an effective method to determine sciatic notch, hip joint, and medial wall violations after iliac screw placement; however, it is not effective in identifying a lateral wall violation.",Orchowski JR; Polly DW Jr; Kuklo TR; Klemme WR; Schroeder TM,,2006,"American journal of orthopedics (Belle Mead, N.J.)","Comparative Study; Evaluation Study; Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
2D,29384922,A case report and literature review of sigmoid volvulus in children.,"RATIONALE: Sigmoid volvulus (SV) is an exceptionally rare but potentially life-threatening condition in children. CHIEF COMPLAINT: Abdominal distention for 1 week. DIAGNOSES: Sigmoid volvulus. PATIENT CONCERNS: We present a case of a 12-year-old boy with mechanical ileus who was finally confirmed to have SV with the combination of abdominal plain film, sonography, and computed tomography (CT) with the finding of mesenteric artery rotation. INTERVENTIONS: Because bowel obstruction was suspected, abdominal plain film, sonography, and CT were performed. The abdominal CT demonstrated whirlpool sign with torsion of the sigmoid vessels. In addition, lower gastrointestinal filling study showed that the contrast medium could only reach the upper descending colon. Therefore, he received laparotomy with mesosigmoidoplasty for detorsion of the sigmoid. OUTCOMES: The postoperative recovery was smooth under empirical antibiotic treatment with cefazolin. A follow-up lower gastrointestinal series on the seventh day of admission showed no obstruction compared with the previous series. He was finally discharged in a stable condition 8 days after admission. LESSONS: SV is a congenital anomaly and an uncommon diagnosis in children. Nevertheless, case series and case reports of SV are becoming more prevalent in the literature. Failure to recognize SV may result in life-threatening complications such as sigmoid gangrene/perforation, peritonitis, sepsis, and death. Thus, if the children have persistent and recurrent abdominal distention, abdominal pain, and vomiting, physicians should consider SV as a ""do not miss diagnosis"" in the differential diagnosis. reserved.",Chang PH; Jeng CM; Chen DF; Lin LH,,2017,Medicine,Case Reports; Journal Article; Review,
2D,22794707,Radical tumor excision and immediate abdominal wall reconstruction in patients with aggressive neoplasm compromised full-thickness lower abdominal wall.,"BACKGROUND: Radical tumor resection and immediate lower abdominal wall reconstruction in patients with aggressive neoplasm invading full-thickness abdominal wall are challenging because of their close proximity and possible invasion to bone and great vessels, as well as consequent giant defect. METHODS: Data on 16 patients were reviewed retrospectively. Radical neoplasm resection and immediate abdominal wall reconstruction using the combined technique of intraperitoneal mesh placement, sublay technique, pedicled great omentum flap, and rotation skin graft were performed. RESULTS: Sixteen patients underwent radical abdominal wall neoplasm resection, achieving clear margin of >3 cm. The mean size of consequent giant defect was 226.5 ± 65.5 cm(2), with a mean polypropylene mesh size of 160.7 ± 40.5 cm(2) and a mean compound mesh size of 330.8 ± 100.2 cm(2). Sixteen patients had a mean follow-up duration of 32.5 ± 12.5 months. Four patients developed incisional infections, and 1 patient died of several metastatic lesions 24 months postoperatively. No ventral hernia and abdominal wall recurrence were observed. CONCLUSIONS: Radical neoplasm resection and immediate abdominal wall reconstruction are appropriate for patients with aggressive neoplasm in the lower abdominal wall.",Yang F,,2013,American journal of surgery,Journal Article,
2D,35288561,Microfluidic manipulation by spiral hollow-fibre actuators.,"A microfluidic manipulation system that can sense a liquid and control its flow is highly desirable. However, conventional sensors and motors have difficulty fitting the limited space in microfluidic devices; moreover, fast sensing and actuation are required because of the fast liquid flow in the hollow fibre. In this study, fast torsional and tensile actuators were developed using hollow fibres employing spiral nonlinear stress, which can sense the fluid temperature and sort the fluid into the desired vessels. The fluid-driven actuation exhibited a highly increased response speed (27 times as fast as that of air-driven actuation) and increased power density (90 times that of an air-driven solid fibre actuator). A 0.5 K fluid temperature fluctuation produced a 20° rotation of the hollow fibre. These high performances originated from increments in both heat transfer and the average bias angle, which was understood through theoretical analysis. This work provides a new design strategy for intelligent microfluidics and inspiration for soft robots and smart devices for biological, optical, or magnetic applications.",Li S; Zhang R; Zhang G; Shuai L; Chang W; Hu X; Zou M; Zhou X; An B; Qian D; Liu Z,,2022,Nature communications,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",
2D,34232872,Development of an Integrated C-Arm Interventional Imaging System With a Strip Photon Counting Detector and a Flat Panel Detector.,"Modern interventional x-ray systems are often equipped with flat-panel detector-based cone-beam CT (FPD-CBCT) to provide tomographic, volumetric, and high spatial resolution imaging of interventional devices, iodinated vessels, and other objects. The purpose of this work was to bring an interchangeable strip photon-counting detector (PCD) to C-arm systems to supplement (instead of retiring) the existing FPD-CBCT with a high quality, spectral, and affordable PCD-CT imaging option. With minimal modification to the existing C-arm, a 51×0.6 cm(2) PCD with a 0.75 mm CdTe layer, two energy thresholds, and 0.1 mm pixels was integrated with a Siemens Artis Zee interventional imaging system. The PCD can be translated in and out of the field-of-view to allow the system to switch between FPD and PCD-CT imaging modes. A dedicated phantom and a new algorithm were developed to calibrate the projection geometry of the narrow-beam PCD-CT system and correct the gantry wobbling-induced geometric distortion artifacts. In addition, a detector response calibration procedure was performed for each PCD pixel using materials with known radiological pathlengths to address concentric artifacts in PCD-CT images. Both phantom and human cadaver experiments were performed at a high gantry rotation speed and clinically relevant radiation dose level to evaluate the spectral and non-spectral imaging performance of the prototype system. Results show that the PCD-CT system has excellent image quality with negligible artifacts after the proposed corrections. Compared with FPD-CBCT images acquired at the same dose level, PCD-CT images demonstrated a 53% reduction in noise variance and additional quantitative imaging capability.",Ji X; Feng M; Treb K; Zhang R; Schafer S; Li K,,2021,IEEE transactions on medical imaging,Journal Article,
2D,21938601,[Knee disarticulation and through-knee amputation].,"OBJECTIVE: A knee disarticulation or a through-knee stump is superior compared to a transfemoral stump. The thigh muscles are all preserved, and the muscle balance remains undisturbed. The range of motion of the hip joint is not limited. The bulbous shape of the stump allows full weight bearing at the stump end and can easily be fitted with a prosthesis. An amputee with a bilateral knee disarticulation is able to walk ""barefoot"". INDICATIONS: A more distal amputation level, e.g., an ultra-short transtibial amputation, is not possible. Important alternative to transfemoral amputations. Possible for any etiology except for Buerger-Winiwarter's disease. New indications are infected and loosened total knee replacements. CONTRAINDICATIONS: Preservation of the knee joint is possible. SURGICAL TECHNIQUE: Knee disarticulation is a very atraumatic procedure, compared to transfemoral amputations. Neither bones nor muscles have to be severed, just skin, ligaments, vessels, and nerves. Even the meniscal cartilages may be left in place to act as axial shock absorbers. The cartilage of the femur is not resected, but only bevelled in case of osteoarthritis. There are no tendon attachments or myoplastic procedures necessary. The patella remains in place and is held in position only by the retinacula. Skin closure must be performed without the slightest tension, and if possible not in the weight-bearing area. Transcondylar amputations across the femoral condyles only are indicated when there are not sufficient soft tissues for wound closure of a knee disarticulation. Alternatives as the techniques of Gritti, Klaes, and Eigler, the shortening of the femur and the Sauerbruch's rotation plasty [14] are presented and discussed. POSTOPERATIVE MANAGEMENT: The risk of decubital ulcers is rather high. Correct bandaging of the stump is, therefore, particularly important. Prosthetic fitting is possible 3-6 weeks after surgery. The type of prosthesis depends on the amputee's activity level. RESULTS: The superior performance of amputees with knee disarticulations in sports prove the superiority of that amputation level compared to transfemoral amputees. However, because less than 5% of amputations are knee disarticulations, statements about statistical significance cannot be made. On the other hand, one should do everything to preserve an ultra-short transtibial stump.",Baumgartner R,,2011,Operative Orthopadie und Traumatologie,English Abstract; Journal Article,
