Group,PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants,"query = ""('slow fall rotating vessel' or 'slow wall rotating vessel' or 'rotating wall vessel')"""
rotating_wall,37662695,Technology using simulated microgravity.,"The human body experiences constant stimulation from Earth's gravity, and the absence of gravity leads to various impacts at the cellular and tissue levels. Simulated microgravity (s-μg) has been employed on Earth to investigate these effects, circumventing the challenges of conducting experiments in space and providing an opportunity to understand the influence of microgravity on living organisms. Research focusing on stem cells and utilizing s-μg has enhanced our understanding of how microgravity affects stem cell morphology, migration, proliferation, and differentiation. Studies have used systems such as rotating wall vessels, random positioning machines, and clinostats. By uncovering the mechanisms underlying the observed changes in these studies, there is potential to identify therapeutic targets that regulate stem cell function and explore a range of applications, including stem cell-based regenerative medicine. This review will focus on the features of each device designed to simulate microgravity on Earth, as well as the stem cell experiments performed with those devices. Elsevier B.V.",Nishimura Y,Random positioning machine; Regenerative therapy; Rotating wall vessel; Simulated microgravity; Stem cells,2023,Regenerative therapy,Journal Article; Review,,
rotating_wall,32599028,The science of BAV aortopathy.,"The aortopathy associated with bicuspid aortic valve (BAV) is an epidemiologically relevant source of chronic and acute aortic disease (aneurysm and dissection). However, its pathogenesis is still the object of scientific uncertainties and debates. Indeed, the mechanisms determining the diseases of the ascending aorta in BAV patients are most likely complex and multifactorial, i.e. resulting from variable modes of interplay between genetic and hemodynamic factors. Although few scientific studies have so far taken into adequate account this complexity, leaving the precise sequence of pathogenetic events still undiscovered, the accumulated evidence from previous research approaches have at least brought about important insights. While genetic studies have so far identified variants relevant to either valve malformation or aortic complications (including those in the genes NOTCH1, TGFBR2, ACTA2, GATA5, NKX2.5, SMAD6, ROBO4), however each explaining not more than 5% of the study population, other investigations have thoroughly described both the flow features, with consequent forces acting on the arterial wall (including skewed flow jet direction, rotational flow, wall shear stress), and the main changes in the molecular and cellular wall structure (including extracellular matrix degradation, smooth muscle cell changes, oxidative stress, unbalance of TGF-β signaling, aberrant endothelial-to-mesenchymal transition). All of this evidence, together with the recognition of the diverse phenotypes that the aortopathy can assume in BAV patients, holding possible prognostic significance, is reviewed in this chapter. The complex and multifaceted body of knowledge resulting from clinical and basic science studies on BAV aortopathy has the potential to importantly influence modes of clinical management of this disease in the near future.",Lo Presti F; Guzzardi DG; Bancone C; Fedak PWM; Della Corte A,Aortopathy; Bicuspid aortic valve; Biomarkers; Flow patterns; Vessel wall remodeling,2020,Progress in cardiovascular diseases,Journal Article; Review,,
rotating_wall,12426749,[Anatomy and function of the anterior cruciate ligament].,"The anterior cruciate ligament originates at the medial wall of the lateral femoral condyle and inserts into the middle of the intercondylar area. It contributes significantly to the stabilization and kinematics of the knee joint. The femoral origin is oval and is located in the posterior aspect of the lateral femoral condyle. Therefore, it is difficult to visualize the femoral origin arthroscopically. This might be one reason for anterior malpositioning of the femoral bone tunnel during anterior cruciate ligament reconstruction. The position of the femoral origin is behind the center of rotation of the knee joint; therefore, it becomes tense when the knee is extended. The tibial insertion is oval and its center is nearly in the middle of the tibial plateau. Definite landmarks for tibial tunnel placement in anterior cruciate ligament reconstruction are the distance between the central insertion point at the intercondylar floor and the posterior cruciate ligament (7-8 mm) and the anterior horn of the lateral meniscus. The anterior cruciate ligament consists of multiple small fiber bundles. From a functional point of view, one can differentiate the anteromedial and posterolateral fiber bundles. The anteromedial fibers are tense during a greater range of motion than the posterolateral fibers. The main part of the anterior cruciate ligament consists of type I collagen-positive dense connective tissue. The longitudinal fibrils of type I collagen are divided into small bundles by thin type III collagen-positive fibrils. In the distal third, the structure of the tissue varies from the typical structure of a ligament. In this region, the structure of the tissue resembles fibrocartilage. Oval-shaped cells surrounded by a metachromatic extracellular matrix lie between the longitudinal collagen fibrils. The femoral origin and the tibial insertion have the structure of a chondral apophyseal enthesis. Near the anchoring region at the femur and tibia, there should be various mechanoreceptors, which might have an important function for the kinematics of the knee joint. The blood supply of the anterior cruciate ligament arises from the middle geniculate artery. The ligament is covered by a synovial fold where the terminal branches of the middle and the inferior geniculate artery form a periligamentous network. From the synovial sheath, the blood vessels penetrate the ligament in a horizontal direction and anastomose with a longitudinally orientated intraligamentous network. The distribution of blood vessels within the anterior cruciate ligament is not homogeneous. We detected three avascular areas within the ligament: Both fibrocartilaginous entheses of the anterior cruciate ligament are devoid of blood vessels. A third avascular zone is located in the distal zone of fibrocartilage adjacent to the roof of the intercondylar fossa.",Petersen W; Tillmann B,,2002,Der Orthopade,English Abstract; Journal Article,,
rotating_wall,11399642,Optimized suspension culture: the rotating-wall vessel.,"Suspension culture remains a popular modality, which manipulates mechanical culture conditions to maintain the specialized features of cultured cells. The rotating-wall vessel is a suspension culture vessel optimized to produce laminar flow and minimize the mechanical stresses on cell aggregates in culture. This review summarizes the engineering principles, which allow optimal suspension culture conditions to be established, and the boundary conditions, which limit this process. We suggest that to minimize mechanical damage and optimize differentiation of cultured cells, suspension culture should be performed in a solid-body rotation Couette-flow, zero-headspace culture vessel such as the rotating-wall vessel. This provides fluid dynamic operating principles characterized by 1) solid body rotation about a horizontal axis, characterized by colocalization of cells and aggregates of different sedimentation rates, optimally reduced fluid shear and turbulence, and three-dimensional spatial freedom; and 2) oxygenation by diffusion. Optimization of suspension culture is achieved by applying three tradeoffs. First, terminal velocity should be minimized by choosing microcarrier beads and culture media as close in density as possible. Next, rotation in the rotating-wall vessel induces both Coriolis and centrifugal forces, directly dependent on terminal velocity and minimized as terminal velocity is minimized. Last, mass transport of nutrients to a cell in suspension culture depends on both terminal velocity and diffusion of nutrients. In the transduction of mechanical culture conditions into cellular effects, several lines of evidence support a role for multiple molecular mechanisms. These include effects of shear stress, changes in cell cycle and cell death pathways, and upstream regulation of secondary messengers such as protein kinase C. The discipline of suspension culture needs a systematic analysis of the relationship between mechanical culture conditions and biological effects, emphasizing cellular processes important for the industrial production of biological pharmaceuticals and devices.",Hammond TG; Hammond JM,NASA Discipline Cell Biology; Non-NASA Center,2001,American journal of physiology. Renal physiology,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",,
rotating_wall,11865869,Clinostats and bioreactors.,"The environment created on Earth within a clinostat or Rotating Wall Vessel (RWV) bioreactor is often referred to as ""simulated microgravity"". Both devices utilize constant reorientation to effectively nullify cumulative sedimentation of particles. Neither, however, can fully reproduce the concurrent lack of structural deformation, displacement of intercellular components and/or reduced mass transfer in the extracellular fluid that occur in actual weightlessness. Parameters including density, viscosity, and even container geometry must each be considered to determine the overall gravity-dependent effects produced by either a clinostat or the RWV bioreactor; in addition, the intended application of these two devices differs considerably. A state of particle ""motionlessness"" relative to the surrounding bulk fluid, which is nearly analogous to the extracellular environment encountered under weightless conditions, can theoretically be achieved through clinorotation. The RWV bioreactor, on the other hand, while similarly maintaining cells in suspension as they continually ""fall"" through the medium under 1 g conditions, can also purposefully induce a perfusion of nutrients to and waste from the culture. A clinostat, therefore, is typically used in an attempt to reproduce the quiescent, unstirred fluid conditions achievable on orbit; while the RWV bioreactor ideally creates a low shear, but necessarily mixed, fluid environment that is optimized for suspension culture and tissue growth. Other techniques for exploring altered inertial environments, such as freefall, neutral buoyancy and electromagnetic levitation, can also provide unique insight into how gravity affects biological systems. Ultimately, all underlying biophysical principles thought to give rise to gravity-dependent physiological responses must be identified and thoroughly examined in order to accurately interpret data from flight experiments or ground-based microgravity analogs.",Klaus DM,,2001,Gravitational and space biology bulletin : publication of the American Society,Journal Article,,
rotating_wall,20948552,Organotypic 3D cell culture models: using the rotating wall vessel to study host-pathogen interactions.,Appropriately simulating the three-dimensional (3D) environment in which tissues normally develop and function is crucial for engineering in vitro models that can be used for the meaningful dissection of host-pathogen interactions. This Review highlights how the rotating wall vessel bioreactor has been used to establish 3D hierarchical models that range in complexity from a single cell type to multicellular co-culture models that recapitulate the 3D architecture of tissues observed in vivo. The application of these models to the study of infectious diseases is discussed.,Barrila J; Radtke AL; Crabbé A; Sarker SF; Herbst-Kralovetz MM; Ott CM; Nickerson CA,,2010,Nature reviews. Microbiology,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Review",R21MH080702/MH/NIMH NIH HHS/United States; U19 AI062150-01/AI/NIAID NIH HHS/United States,
rotating_wall,22491366,Culturing and applications of rotating wall vessel bioreactor derived 3D epithelial cell models.,"Cells and tissues in the body experience environmental conditions that influence their architecture, intercellular communications, and overall functions. For in vitro cell culture models to accurately mimic the tissue of interest, the growth environment of the culture is a critical aspect to consider. Commonly used conventional cell culture systems propagate epithelial cells on flat two-dimensional (2-D) impermeable surfaces. Although much has been learned from conventional cell culture systems, many findings are not reproducible in human clinical trials or tissue explants, potentially as a result of the lack of a physiologically relevant microenvironment. Here, we describe a culture system that overcomes many of the culture condition boundaries of 2-D cell cultures, by using the innovative rotating wall vessel (RWV) bioreactor technology. We and others have shown that organotypic RWV-derived models can recapitulate structure, function, and authentic human responses to external stimuli similarly to human explant tissues (1-6). The RWV bioreactor is a suspension culture system that allows for the growth of epithelial cells under low physiological fluid shear conditions. The bioreactors come in two different formats, a high-aspect rotating vessel (HARV) or a slow-turning lateral vessel (STLV), in which they differ by their aeration source. Epithelial cells are added to the bioreactor of choice in combination with porous, collagen-coated microcarrier beads (Figure 1A). The cells utilize the beads as a growth scaffold during the constant free fall in the bioreactor (Figure 1B). The microenvironment provided by the bioreactor allows the cells to form three-dimensional (3-D) aggregates displaying in vivo-like characteristics often not observed under standard 2-D culture conditions (Figure 1D). These characteristics include tight junctions, mucus production, apical/basal orientation, in vivo protein localization, and additional epithelial cell-type specific properties. The progression from a monolayer of epithelial cells to a fully differentiated 3-D aggregate varies based on cell type(1, 7-13). Periodic sampling from the bioreactor allows for monitoring of epithelial aggregate formation, cellular differentiation markers and viability (Figure 1D). Once cellular differentiation and aggregate formation is established, the cells are harvested from the bioreactor, and similar assays performed on 2-D cells can be applied to the 3-D aggregates with a few considerations (Figure 1E-G). In this work, we describe detailed steps of how to culture 3-D epithelial cell aggregates in the RWV bioreactor system and a variety of potential assays and analyses that can be executed with the 3-D aggregates. These analyses include, but are not limited to, structural/morphological analysis (confocal, scanning and transmission electron microscopy), cytokine/chemokine secretion and cell signaling (cytometric bead array and Western blot analysis), gene expression analysis (real-time PCR), toxicological/drug analysis and host-pathogen interactions. The utilization of these assays set the foundation for more in-depth and expansive studies such as metabolomics, transcriptomics, proteomics and other array-based applications. Our goal is to present a non-conventional means of culturing human epithelial cells to produce organotypic 3-D models that recapitulate the human in vivo tissue, in a facile and robust system to be used by researchers with diverse scientific interests.",Radtke AL; Herbst-Kralovetz MM,,2012,Journal of visualized experiments : JoVE,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Video-Audio Media",U19 AI062150/AI/NIAID NIH HHS/United States; IU19 AI062150-01/AI/NIAID NIH HHS/United States,
rotating_wall,28451812,Debulking Atherectomy in the Peripheral Arteries: Is There a Role and What is the Evidence?,"Traditional percutaneous balloon angioplasty and stent placement is based on mechanical plaque disruption and displacement within the arterial wall. On the contrary, transcatheter atherectomy achieves atherosclerotic plaque clearance by means of directional plaque excision or rotational plaque removal or laser plaque ablation. Debulking atherectomy may allow for a more uniform angioplasty result at lower pressures with consequently less vessel barotrauma and improved luminal gain, thereby decreasing the risk of plaque recoil and dissection that may require permanent metal stenting. It has been also argued that atherectomy may disrupt the calcium barrier and optimize drug transfer and delivery in case of drug-coated balloon applications. The authors discuss the various types of atherectomy devices available in clinical practice to date and critically appraise their mode of action as well as relevant published data in each case. Overall, amassed randomized and observational evidence indicates that percutaneous atherectomy of the femoropopliteal and infrapopliteal arteries may achieve high technical success rates and seems to lessen the frequency of bailout stenting, however, at the expense of increased risk of peri-procedural distal embolization. Long-term clinical outcomes reported to date do not support the superiority of percutaneous atherectomy over traditional balloon angioplasty and stent placement in terms of vessel patency or limb salvage. The combination of debulking atherectomy and drug-coated balloons has shown promise in early studies, especially in the treatment of more complex lesions. Unanswered questions and future perspectives of this continuously evolving endovascular technology as part of a broader treatment algorithm are discussed.",Katsanos K; Spiliopoulos S; Reppas L; Karnabatidis D,Amputation; Atherectomy; Atherosclerosis; Directional; Embolization; Laser; Patency; Plaque excision; Rotational,2017,Cardiovascular and interventional radiology,Journal Article; Review,,
rotating_wall,27894584,Pre-expanded Internal Mammary Artery Perforator Flap.,"Internal mammary artery (IMA)-based pedicled perforator flaps can be used to reconstruct defects of the neck and anterior chest wall. Pre-expansion causes a possible delay phenomenon, improves flap survival, and decreases donor site morbidity. It also increases the area that can be covered. Pre-expanding can allow for perforator flaps that require a shorter arc of rotation. The pre-expanded internal mammary artery perforator (IMAP) flap is an excellent option for patients who have undergone multiple failed reconstructions and require large amounts of soft tissue while lacking other donor sites.",Wong S; Goggin JD; Webster ND; Saint-Cyr MH,IMAP; Internal mammary artery perforator flap; Pre-expansion; Tissue expansion,2017,Clinics in plastic surgery,Journal Article; Review,,
rotating_wall,8501130,Three-dimensional growth and differentiation of ovarian tumor cell line in high aspect rotating-wall vessel: morphologic and embryologic considerations.,"Cancer of the ovary is the leading cause of death from gynecologic malignancy. To understand better these aggressive tumors, the development of in vitro models to study human ovarian cancer is critical. However, the establishment of long-term cell lines has been difficult, due to the generalized poor survival of patient tumor cells grown in primary culture. Satisfactory culture systems for ovarian tumor cells have therefore been limited. To study cellular interactions involved in the growth and differentiation of these tumors, a cell line was established from a mixed müllerian tumor of the ovary. This cell line, designated LN1, was cultured on microcarrier beads in the high aspect rotating-wall vessel. The tumor cells grown in this vessel readily proliferated without a requirement for cocultivation with a supportive cell layer. Evaluation of cellular morphology by phase contrast light microscopy and scanning electron microscopy revealed the presence of three-dimensional multicellular aggregates consisting of multiple cell-coated beads bridged together, as well as scattered aggregates of LN1 cells proliferating as spheroids free in suspension. In contrast to conventional culture systems, culture in the high aspect rotating-wall vessel facilitated the generation of multiple cell types that could be recovered. These results illustrate the ability of this culture system to provide the biological conditions necessary for pluripotent cell growth.",Becker JL; Prewett TL; Spaulding GF; Goodwin TJ,,1993,Journal of cellular biochemistry,Journal Article; Review,,
